State,Quarter,Starting,Added,Renovated,Lost
Alabama,Q1_16,7000,2800,250,1800
Arizona,Q1_16,35000,3400,2100,4600
Arkansas,Q1_16,13000,1200,90,1500
California,Q1_16,1440000,250000,124000,255000
Colorado,Q1_16,3500,200,140,1500
Connecticut,Q1_16,3900,290,0,870
Florida,Q1_16,305000,54000,25000,42000
Georgia,Q1_16,104000,47000,9500,14500
Hawaii,Q1_16,10500,3400,760,380
Idaho,Q1_16,81000,2600,8000,3700
Illinois,Q1_16,6000,2300,390,4200
Indiana,Q1_16,9000,490,120,2100
Iowa,Q1_16,12500,1700,270,3100
Kansas,Q1_16,4600,450,70,1600
Kentucky,Q1_16,7500,250,0,4100
Louisiana,Q1_16,51000,3100,6500,8000
Maine,Q1_16,3100,20,0,380
Maryland,Q1_16,7500,1600,870,4100
Massachusetts,Q1_16,2900,260,120,1000
Michigan,Q1_16,16500,7500,2400,11500
Minnesota,Q1_16,28000,690,530,3700
Mississippi,Q1_16,34000,22000,7500,8500
Missouri,Q1_16,12000,220,910,2000
Montana,Q1_16,8500,1400,1100,2200
Nebraska,Q1_16,10000,120,310,2600
New Jersey,Q1_16,6000,570,1600,1100
New Mexico,Q1_16,7000,190,600,690
New York,Q1_16,27000,430,950,6500
North Carolina,Q1_16,24000,6000,690,7000
North Dakota,Q1_16,57000,1800,530,620
Ohio,Q1_16,18000,5000,3300,10500
Oklahoma,Q1_16,9500,2600,260,6000
Oregon,Q1_16,77000,4300,2400,6500
Pennsylvania,Q1_16,14000,360,0,6500
South Carolina,Q1_16,17000,2700,1400,2700
South Dakota,Q1_16,50000,8500,2800,4600
Tennessee,Q1_16,9500,1000,190,2000
Texas,Q1_16,191000,82000,51000,26000
Utah,Q1_16,6000,2500,290,3300
Vermont,Q1_16,5500,1200,20,700
Virginia,Q1_16,8000,800,460,2500
Washington,Q1_16,52000,13500,9000,14000
West Virginia,Q1_16,4700,570,60,1800
Wisconsin,Q1_16,16500,3100,2500,8000
Wyoming,Q1_16,5500,2000,1400,2000
Other States 5/,Q1_16,3410,870,150,2080
United States,Q1_16,2824610,546980,270530,500020
Alabama,Q2_16,7500,1900,680,860
Arizona,Q2_16,33000,19500,7000,5500
Arkansas,Q2_16,13500,11500,5500,1900
California,Q2_16,1040000,170000,285000,104000
Colorado,Q2_16,12000,6000,3500,1900
Connecticut,Q2_16,3000,1100,150,80
Florida,Q2_16,210000,44000,24000,35000
Georgia,Q2_16,114000,25000,19000,23000
Hawaii,Q2_16,13500,1100,1200,120
Idaho,Q2_16,62000,16500,10500,6500
Illinois,Q2_16,9500,6000,1500,1300
Indiana,Q2_16,8000,4900,4300,1300
Iowa,Q2_16,12500,6500,3100,1400
Kansas,Q2_16,6000,2800,420,670
Kentucky,Q2_16,7500,3600,1500,980
Louisiana,Q2_16,44000,6500,8000,1800
Maine,Q2_16,4600,3500,700,3200
Maryland,Q2_16,8000,2600,710,370
Massachusetts,Q2_16,4100,940,510,320
Michigan,Q2_16,58000,13500,5500,9500
Minnesota,Q2_16,71000,20000,21000,12500
Mississippi,Q2_16,89000,5500,10000,11000
Missouri,Q2_16,11500,1900,1800,500
Montana,Q2_16,36000,14000,33000,4200
Nebraska,Q2_16,29000,15500,4600,4100
New Jersey,Q2_16,8500,2100,2900,1800
New Mexico,Q2_16,6500,1500,330,1000
New York,Q2_16,24000,11000,1500,1100
North Carolina,Q2_16,19500,5500,3300,1800
North Dakota,Q2_16,121000,39000,61000,29000
Ohio,Q2_16,17500,10000,6000,2100
Oklahoma,Q2_16,25000,5500,2200,2200
Oregon,Q2_16,82000,14500,9500,5500
Pennsylvania,Q2_16,15500,8500,2600,1600
South Carolina,Q2_16,17500,1100,2000,950
South Dakota,Q2_16,100000,27000,23000,21000
Tennessee,Q2_16,7500,3600,920,730
Texas,Q2_16,305000,76000,94000,33000
Utah,Q2_16,24000,10000,3900,3400
Vermont,Q2_16,6000,580,50,100
Virginia,Q2_16,7500,2100,430,270
Washington,Q2_16,105000,15000,13000,5000
West Virginia,Q2_16,4700,2900,590,570
Wisconsin,Q2_16,25000,10000,5500,4600
Wyoming,Q2_16,12000,7500,5000,3200
Other States 5/,Q2_16,8600,4140,1960,1940
United States,Q2_16,2849500,661860,692850,352860
Alabama,Q3_16,8500,160,260,1400
Arizona,Q3_16,40000,4300,15500,6000
Arkansas,Q3_16,23000,500,210,9000
California,Q3_16,730000,40000,93000,76000
Colorado,Q3_16,29000,1400,1400,4500
Connecticut,Q3_16,3700,190,440,50
Florida,Q3_16,164000,37000,29000,36000
Georgia,Q3_16,108000,19500,15500,13000
Hawaii,Q3_16,14500,1200,5500,2700
Idaho,Q3_16,80000,5500,11500,14000
Illinois,Q3_16,14000,1300,1100,1400
Indiana,Q3_16,15000,1400,420,1600
Iowa,Q3_16,29000,640,680,3000
Kansas,Q3_16,9000,100,160,1000
Kentucky,Q3_16,10000,170,550,1300
Louisiana,Q3_16,50000,2300,1800,2000
Maine,Q3_16,6000,410,140,450
Maryland,Q3_16,7000,730,70,680
Massachusetts,Q3_16,7500,290,400,560
Michigan,Q3_16,89000,3300,3800,7000
Minnesota,Q3_16,133000,640,2300,32000
Mississippi,Q3_16,23000,260,110,3500
Missouri,Q3_16,14000,700,630,1200
Montana,Q3_16,140000,3200,10000,10500
Nebraska,Q3_16,67000,500,6000,6000
New Jersey,Q3_16,18500,190,500,210
New Mexico,Q3_16,6500,1300,650,1600
New York,Q3_16,44000,4400,7000,6500
North Carolina,Q3_16,24000,2500,1100,2900
North Dakota,Q3_16,460000,11000,22000,93000
Ohio,Q3_16,23000,2300,880,1900
Oklahoma,Q3_16,19500,160,190,230
Oregon,Q3_16,68000,8000,21000,8500
Pennsylvania,Q3_16,25000,1800,2400,1800
South Carolina,Q3_16,12000,880,580,2000
South Dakota,Q3_16,295000,2100,13000,53000
Tennessee,Q3_16,10000,500,350,1200
Texas,Q3_16,76000,5500,4800,16500
Utah,Q3_16,31000,1400,2200,8000
Vermont,Q3_16,6000,30,20,40
Virginia,Q3_16,8000,520,220,680
Washington,Q3_16,84000,1800,20000,11500
West Virginia,Q3_16,7000,300,270,300
Wisconsin,Q3_16,60000,1300,4300,9000
Wyoming,Q3_16,29000,270,440,2500
